project_id,title,status,project_link,candidate_image_url,local_path,note
349,Diamagnetic Boat in a Tub of Water,downloaded,https://www.instructables.com/Diamagnetische-Boot-in-Een-Bak-Met-Water/,https://www.instructables.com/Diamagnetische-Boot-in-Een-Bak-Met-Water/#step3,data/media/diamagnetic-boat-in-a-tub-of-water/diamagnetic-boat-in-a-tub-of-water-02-43cd62dc.jpg,score=6
349,Diamagnetic Boat in a Tub of Water,downloaded,https://www.instructables.com/Diamagnetische-Boot-in-Een-Bak-Met-Water/,https://www.instructables.com/Diamagnetische-Boot-in-Een-Bak-Met-Water/#step2,data/media/diamagnetic-boat-in-a-tub-of-water/diamagnetic-boat-in-a-tub-of-water-03-50360dc6.jpg,score=6
350,Doppler Effect - Rotating Arm,downloaded,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/#step6,data/media/doppler-effect-rotating-arm/doppler-effect-rotating-arm-01-ccf45e75.jpg,score=6
350,Doppler Effect - Rotating Arm,downloaded,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/#step5,data/media/doppler-effect-rotating-arm/doppler-effect-rotating-arm-02-76e6e029.jpg,score=6
350,Doppler Effect - Rotating Arm,downloaded,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/,https://www.instructables.com/Doppler-demonstratie-Met-Behulp-Van-Rotatie/#step4,data/media/doppler-effect-rotating-arm/doppler-effect-rotating-arm-03-e1c0b509.jpg,score=6
351,Doppler Using Rotation,downloaded,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/#step6,data/media/doppler-using-rotation/doppler-using-rotation-01-e9c0dfab.jpg,score=12
351,Doppler Using Rotation,downloaded,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/#step5,data/media/doppler-using-rotation/doppler-using-rotation-02-d984b5bd.jpg,score=12
351,Doppler Using Rotation,downloaded,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/,https://www.instructables.com/Showing-the-Doppler-Effect-Using-a-Rotating-Arm/#step4,data/media/doppler-using-rotation/doppler-using-rotation-03-f4338dcb.jpg,score=12
352,Double axis swing visualised with pen,skipped,,,,no instructables project_link
353,Double Pendulum,downloaded,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/#step4,data/media/double-pendulum/double-pendulum-01-72ee1b3f.jpg,score=6
353,Double Pendulum,downloaded,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/#step3,data/media/double-pendulum/double-pendulum-02-37dfb469.jpg,score=6
353,Double Pendulum,downloaded,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/,https://www.instructables.com/De-Dubbele-Pendulum-Leren-Over-Chaotisch-Gedrag-Aa/#step2,data/media/double-pendulum/double-pendulum-03-646408ac.jpg,score=6
354,Dynamo,skipped,,,,no instructables project_link
355,Eddy Current in a Model Car,downloaded,https://www.instructables.com/Eddy-Current-in-a-Model-Car/,https://www.instructables.com/Eddy-Current-in-a-Model-Car/#step6,data/media/eddy-current-in-a-model-car/eddy-current-in-a-model-car-01-ae240b37.jpg,score=24
355,Eddy Current in a Model Car,downloaded,https://www.instructables.com/Eddy-Current-in-a-Model-Car/,https://www.instructables.com/Eddy-Current-in-a-Model-Car/#step5,data/media/eddy-current-in-a-model-car/eddy-current-in-a-model-car-02-ac1e6e6d.jpg,score=24
355,Eddy Current in a Model Car,downloaded,https://www.instructables.com/Eddy-Current-in-a-Model-Car/,https://www.instructables.com/Eddy-Current-in-a-Model-Car/#step4,data/media/eddy-current-in-a-model-car/eddy-current-in-a-model-car-03-427fd735.jpg,score=24
356,Eddy Current: Free moving wheel,downloaded,https://www.instructables.com/Eddy-Current-Machine-Thingy/,https://www.instructables.com/Eddy-Current-Machine-Thingy/#step8,data/media/eddy-current-free-moving-wheel/eddy-current-free-moving-wheel-01-23a7d0ea.jpg,score=12
356,Eddy Current: Free moving wheel,downloaded,https://www.instructables.com/Eddy-Current-Machine-Thingy/,https://www.instructables.com/Eddy-Current-Machine-Thingy/#step7,data/media/eddy-current-free-moving-wheel/eddy-current-free-moving-wheel-02-360f4d1d.jpg,score=12
356,Eddy Current: Free moving wheel,downloaded,https://www.instructables.com/Eddy-Current-Machine-Thingy/,https://www.instructables.com/Eddy-Current-Machine-Thingy/#step6,data/media/eddy-current-free-moving-wheel/eddy-current-free-moving-wheel-03-44e672d4.jpg,score=12
357,Eddy's Crane,no-match,https://www.instructables.com/DEF-28-Eddys-Hijskraan/,,,"20 candidates, none above threshold"
358,Electric Guitar,skipped,,,,no instructables project_link
359,Electromotor,no-match,https://www.instructables.com/Elektromotor-Groepje-9-DEF-1/,,,"15 candidates, none above threshold"
360,Faraday's Law,downloaded,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/#step8,data/media/faraday-s-law/faraday-s-law-01-80d2c1d9.jpg,score=6
360,Faraday's Law,downloaded,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/,https://www.instructables.com/Aantoning-Van-De-Wet-Van-Faraday-Voor-VWO-6/#step7,data/media/faraday-s-law/faraday-s-law-02-16436a64.jpg,score=6
